Prefecture,City,amount_2008,amount_2009,amount_2010,amount_2011,amount_2012,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,amount_2018,amount_2019,number_2008,number_2009,number_2010,number_2011,number_2012,number_2013,number_2014,number_2015,number_2016,number_2017,number_2018,number_2019
福岡県,遠賀町,240,1060,899,100,150,195,1305,1453,2104,1715,2914,4326,4,10,10,1,2,6,22,25,33,48,123,224
福岡県,小竹町,615,433,7673,1320,292,386,3421,16949,13614,13187,13960,31584,30,20,144,40,13,16,72,834,614,549,630,1786
福岡県,鞍手町,865,675,820,510,570,540,1180,1292,9691,15775,34036,16276,44,10,13,5,6,11,57,56,545,868,2470,648
福岡県,桂川町,0,0,0,0,0,0,0,850,1661,6690,5925,12070,0,0,0,0,0,0,0,2,40,229,362,920
福岡県,筑前町,335,905,145,70,475,1220,2110,41981,55860,97425,194592,230464,8,4,6,14,39,226,316,3427,4178,7639,16325,19277
福岡県,東峰村,277,271,989,1061,517,362,904,2295,1285,71748,14587,20473,14,14,21,22,18,15,36,66,43,223,626,1140
福岡県,大刀洗町,30,0,0,114,8,0,2910,32347,83085,574598,1010941,1076812,1,0,0,4,2,0,39,2730,7026,15075,23948,22809
福岡県,大木町,363,215,145,425,485,2405,9714,16434,71220,114620,1405781,541302,13,7,22,19,22,201,649,1014,1374,1924,7215,18489
福岡県,広川町,360,165,130,218,250,1177,4929,6000,13602,10666,7360,34098,3,9,7,16,18,93,366,345,866,618,433,1895
福岡県,香春町,80,230,430,30,20,20,210,625,1380,9765,8824,10063,2,2,4,1,1,1,7,27,62,476,452,519
福岡県,添田町,0,0,0,0,0,0,1140,14595,28020,67349,75975,28256,0,0,0,0,0,0,7,1331,2617,6387,9164,1985
福岡県,糸田町,435,396,1037,920,912,820,1379,964,6264,33174,162947,134678,61,14,61,59,51,46,88,59,166,2298,4428,3150
福岡県,川崎町,1122,1176,533,1085,231,888,1421,217,131662,199821,139303,315259,30,13,11,8,6,5,8,9,11969,20361,14402,21658
福岡県,大任町,90,290,140,100,130,130,256,382,483,5657,9987,129224,3,4,2,1,2,2,11,21,19,439,594,11305
福岡県,赤村,310,130,130,130,130,30,91,210,2545,31011,972173,4723,4,2,2,2,2,1,5,7,255,2372,84360,222
福岡県,福智町,171,628,770,707,742,1935,2108,1166895,1371934,1751438,1337223,589792,4,7,11,11,12,13,21,50738,66191,92796,59969,40509
福岡県,苅田町,0,320,570,200,500,200,610,700,123150,91775,37925,20370,0,2,3,1,2,1,3,3,8902,5492,2674,1821
福岡県,みやこ町,800,940,1065,1210,1180,1780,2160,31131,16181,16944,220533,38902,7,8,14,11,16,13,28,1103,588,420,5553,1475
福岡県,吉富町,110,10,50,300,108,110,70,343,94,1555,2200,2662,5,1,1,1,5,7,9,9,5,7,4,8
福岡県,上毛町,30,490,510,550,311,610,290,545,88080,1205860,3701573,58986,1,6,10,11,13,13,13,17,6606,111387,326938,3801
福岡県,築上町,880,1135,1295,1682,2020,3092,3615,1886,11089,19153,42492,70162,16,51,86,123,144,269,310,112,538,863,3181,4904
佐賀県,佐賀県,4880,3846,5668,39615,15890,30323,44888,583785,640736,669225,687562,953246,136,77,115,173,315,874,989,20297,23719,19033,18315,23865
佐賀県,佐賀市,1292,1560,2611,3951,3658,2652,56840,32956,53071,117433,520411,1087387,21,14,31,37,44,69,292,1905,1759,9200,19359,63612
