Prefecture,City,amount_2008,amount_2009,amount_2010,amount_2011,amount_2012,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,amount_2018,amount_2019,number_2008,number_2009,number_2010,number_2011,number_2012,number_2013,number_2014,number_2015,number_2016,number_2017,number_2018,number_2019
北海道,北海道,4660,52685,2770,3670,5688,10792,1798,2144,13457,1641,88327,8209,54,38,25,32,139,267,64,39,51,98,3996,324
北海道,札幌市,397801,514419,11073,100330,121572,139244,200533,106100,364428,331472,505546,456499,385,455,88,247,365,177,170,200,300,247,1219,2240
北海道,函館市,5177,4745,3301,3846,5139,14880,10573,17032,11380,169100,340921,579859,90,54,47,53,66,150,257,240,207,4211,10744,43753
北海道,小樽市,56757,22717,30036,23209,11971,27136,38989,33039,50892,121904,176349,152107,183,256,185,163,165,204,239,193,781,5552,7644,7346
北海道,旭川市,14090,33603,10271,7161,8414,22468,41834,103494,182256,230240,596161,1313437,82,86,98,84,95,150,224,2806,5404,7269,26142,81238
北海道,室蘭市,4705,4912,5815,3385,4955,6889,6710,9792,27349,15222,44023,22729,43,47,41,36,54,76,98,218,660,733,1375,1191
北海道,釧路市,2845,4941,3703,4265,10580,9766,9377,42654,293861,417664,781641,1025393,33,27,38,33,45,87,115,437,12798,16720,33729,40251
北海道,帯広市,12430,25952,65489,11307,25970,47460,29336,27016,18822,51451,57382,74473,45,98,133,113,154,148,166,200,224,1403,1977,2716
北海道,北見市,2208,2937,3115,9470,13330,6987,11268,131431,183504,293528,479175,249188,19,17,13,15,21,22,31,8617,9015,16327,28276,18870
北海道,夕張市,28219,64434,30391,21058,20056,24857,91181,207131,312212,360028,352585,379645,222,264,168,162,163,242,3321,7488,11130,13519,13773,15382
北海道,岩見沢市,5010,3298,8345,3570,3280,13711,17554,20042,194220,444210,631161,749745,23,21,41,22,17,356,1251,1372,8226,17884,30339,40324
北海道,網走市,8563,14787,13927,268317,14426,12992,57579,593311,735429,644915,1455305,1320424,66,59,49,54,54,66,76,16029,17447,13772,51623,39913
北海道,留萌市,44480,41770,4158,6823,9930,6670,4753,14519,18132,49550,79020,281252,57,58,47,35,47,42,69,143,315,3376,5563,18044
北海道,苫小牧市,656,1170,830,655,1070,1153,1232,5315,88741,147381,279310,462452,5,11,11,9,10,10,23,325,7202,12010,18321,29141
北海道,稚内市,2908,1898,571,315,583,2077,3501,265629,1075437,1547284,1060433,2106439,62,24,27,19,19,32,62,16388,60792,90872,69321,139892
北海道,美唄市,1640,2573,1137,1275,2753,6328,1348,40925,47454,57908,76177,99462,24,25,15,20,23,34,27,2983,3664,4773,6560,8618
北海道,芦別市,6310,12537,5355,15529,11206,42077,15302,12639,245732,327695,211002,571198,19,19,19,24,28,88,144,629,2169,1886,1393,3022
北海道,江別市,2290,209,4344,1030,1097,1297,2572,25830,48225,81571,61102,130515,22,6,11,13,20,13,105,2145,2922,3129,2279,12095
北海道,赤平市,11906,12470,3265,5858,3027,5698,5914,165584,196387,282588,336971,604969,82,48,20,29,35,28,32,2525,6139,11702,17484,25571
北海道,紋別市,5085,6010,9838,7209,12125,40385,74335,106112,251541,1026375,2148218,7737695,73,245,502,579,1022,3683,6919,9977,13434,53940,112866,448803
北海道,士別市,4420,3045,4626,5700,7183,12880,14992,38251,9222,30301,37123,63258,202,223,387,473,624,1175,1379,1044,374,1040,1185,1951
北海道,名寄市,1723,1031,1095,610,760,1556,11873,12085,10013,26238,47570,49122,20,22,18,9,14,18,733,925,682,2585,4357,4447
北海道,三笠市,1740,1100,1276,1632,2171,2079,3153,9094,32036,96150,127280,260050,36,16,23,31,37,43,49,483,2227,7167,9283,22363
北海道,根室市,9215,14086,10385,12700,5495,7270,3260,1290102,3307434,3973346,4957077,6589107,58,57,51,45,34,31,56,56607,165797,242022,314041,413575
北海道,千歳市,330,3105,1790,2280,2090,1910,690,7926,15595,65809,254398,1667487,4,8,8,14,10,13,14,169,420,3968,13446,69641
北海道,滝川市,3249,5372,1555,6856,5312,3822,9452,102363,118195,183393,812373,1046326,17,14,19,60,48,127,573,5252,5131,5749,43903,56438
北海道,砂川市,14774,7027,26392,10326,7252,4220,67483,194517,210178,142879,353230,514954,31,15,19,20,29,31,1478,4437,3779,2277,5843,7791
北海道,歌志内市,1315,410,520,320,620,200,2460,4795,4750,4022,5482,5737,10,14,13,15,19,6,70,121,184,137,259,356
北海道,深川市,310,250,465,606,1655,1260,3432,30864,66174,56930,300244,371804,5,6,11,13,18,31,46,1862,5075,4335,16729,13149
北海道,富良野市,3585,1375,245,280,830,1080,872,1725,58403,68216,48702,61510,5,4,4,5,5,10,23,44,3548,4019,2885,3324
北海道,登別市,0,1370,1815,2612,2805,1999,18417,15205,167092,127890,283644,664659,0,41,52,108,112,75,804,601,8921,5232,16132,40466
北海道,恵庭市,1015,7465,1260,370,10670,10760,3067,20563,101321,213288,336100,775473,2,14,5,7,9,13,23,37,6925,16031,26231,41443
北海道,伊達市,165,128,264,115,41,232,170,1110,137,19370,35897,56169,8,5,7,5,3,4,8,9,7,1077,2315,3304
北海道,北広島市,1640,170,1470,1480,15270,1960,3088,24793,2094,28374,51878,123764,5,5,8,6,6,8,11,11,11,1778,2577,7015
北海道,石狩市,322,326,250,425,621,475,865,1029,15106,61631,63825,137517,12,9,8,14,12,13,24,31,1234,4139,3745,5389
北海道,北斗市,810,1780,425,1079,425,735,681,722,5308,29210,38177,60187,9,11,9,12,9,10,16,24,155,2259,2805,4649
北海道,当別町,9755,12360,10675,15025,83793,20651,114546,524693,583894,464788,871215,1291814,37,53,78,112,174,291,7444,31701,42130,31199,70070,108098
北海道,新篠津村,350,11100,11900,2129,450,700,400,5630,21883,19960,17113,145043,3,3,5,10,5,3,3,12,1540,1432,1146,3115
北海道,松前町,2456,2675,12108,1422,2495,12051,2787,5555,5658,5686,21128,15072,40,60,26,21,22,25,30,111,826,120,1150,657
北海道,福島町,2986,1493,2214,4112,793,375,3366,1770,1030,665,1290,8770,27,14,17,23,15,21,217,215,131,84,81,603
北海道,知内町,570,255,140,40,183,0,1090,3310,21403,40769,48872,40354,24,6,4,2,3,0,59,173,1311,1795,1996,1680
北海道,木古内町,243,3070,2718,2690,2956,2774,2704,5896,4946,5745,4658,4681,9,12,7,7,18,6,8,191,177,209,145,128
北海道,七飯町,390,404,295,225,512,1812,9044,15729,47234,80500,50300,42289,4,4,3,5,31,152,864,1493,3544,5679,3007,1935
北海道,鹿部町,2915,2620,1610,1580,1000,2300,1195,207701,424976,186372,147118,433358,11,5,4,4,1,4,5,16988,51770,17672,12566,33130
北海道,森町,1100,1410,1350,1865,1055,1220,580,32251,806100,2980582,5908852,1604762,2,9,4,6,3,7,6,3141,68197,244298,498334,74969
北海道,八雲町,481,6450,528,953,3938,8460,52311,340808,1147557,1429680,3681122,2456240,7,11,8,10,9,10,4144,32416,100911,123516,316739,151920
北海道,長万部町,787,490,610,675,550,1210,12728,66494,40342,106112,59958,80940,5,8,8,11,6,17,1185,5117,3326,8065,4101,5465
北海道,江差町,3495,2490,1240,1430,1480,1385,785,17040,47740,55428,38119,62694,19,11,9,9,10,12,15,1925,3535,3030,1787,4810
北海道,上ノ国町,213,723,2397,4167,6013,16174,36326,168599,145867,91310,49466,51704,11,68,346,368,563,1450,3398,14409,11724,6360,2872,2631
北海道,厚沢部町,2215,1735,1175,2930,6436,276,2485,5690,830,1320,32007,16566,9,12,20,42,45,36,33,30,30,44,3539,1076
北海道,乙部町,725,315,80,50,100,200,3170,15500,14980,26550,99240,77218,9,6,2,1,2,2,25,30,517,1282,4771,3950
北海道,奥尻町,1830,1905,3885,3220,3652,3140,21089,57417,57972,49811,39968,49671,38,26,56,57,52,68,1130,2934,2686,2274,1987,2225
北海道,今金町,790,2071,544,629,813,4861,4011,4061,8608,17148,18719,12569,9,9,9,24,42,51,57,53,600,1900,1989,886
北海道,せたな町,855,3470,2530,2235,2095,1130,2430,74560,199240,306142,176515,186970,10,9,4,6,6,5,8,5347,18052,28343,14276,13464
北海道,島牧村,600,1400,107,100,160,186,420,647,437,545,1360,280,3,5,4,2,3,5,16,23,15,20,19,15
北海道,寿都町,0,1060,30,100,0,2100,70,203687,718589,1332661,1142522,1113075,0,5,1,1,0,3,3,18576,64010,115271,94575,92440
北海道,黒松内町,10,0,0,110,210,130,260,1930,2540,38815,82181,103825,1,0,0,3,5,3,5,28,43,2319,5760,7362
北海道,蘭越町,110,0,130,70,280,60,765,2053,2115,6375,6300,25229,4,0,2,2,4,2,61,55,72,185,349,930
北海道,ニセコ町,320,2177,1505,2660,2570,3140,1730,11197,4685,11525,29939,23188,5,7,14,17,13,20,17,18,15,18,198,251
北海道,真狩村,0,0,1000,100,200,1550,10155,17962,20482,13350,28401,27983,0,0,1,1,1,5,557,712,738,376,1248,929
北海道,留寿都村,120,0,1070,30,1210,35,9395,119704,176640,222068,110340,136038,2,0,3,1,5,2,918,5847,5823,5093,3446,2390
北海道,喜茂別町,100,752,100,1100,1100,1110,100,0,86357,64449,47422,31338,1,5,1,4,2,3,1,0,2674,2328,1870,1569
北海道,京極町,2320,1600,100,100,0,1000,400,150,10,6300,13080,32030,6,3,1,1,0,1,2,1,1,480,965,2867
北海道,倶知安町,446,4337,3672,3097,3175,13561,5133,18446,39394,42643,58893,236639,7,19,15,9,20,26,27,485,2359,2342,3087,14864
北海道,共和町,5460,6170,5510,7095,4170,4250,2094,1080,51617,27558,27795,44055,36,41,44,60,45,50,23,8,3910,1994,1971,3245
北海道,岩内町,660,1002,905,830,1140,1290,190,180,44542,30449,47136,45912,7,7,4,3,5,8,8,5,3606,2325,3624,3550
北海道,泊村,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,50
北海道,神恵内村,0,230,0,0,0,30,180,855,510,648,504,662,0,6,0,0,0,1,7,32,15,17,17,23
北海道,積丹町,1170,368,755,240,1410,240,490,1380,51403,64102,48182,38054,24,8,9,8,14,7,13,19,1532,2120,1582,938
北海道,古平町,265,599,415,615,1144,320,37490,360805,510477,449040,174276,304023,5,10,9,8,8,9,3613,25388,40596,36777,13906,28445
北海道,仁木町,170,180,120,280,150,100,430,102354,82885,65472,43585,246084,5,5,3,4,4,2,4,9596,7386,5075,3276,10785
北海道,余市町,524,670,630,395,2740,150,3843,8189,4237,59486,107155,171045,7,9,7,7,13,4,139,485,248,2064,3943,6260
北海道,赤井川村,0,150,50,50,30,20,370,160,57387,128404,150568,208827,0,2,1,1,1,1,4,2,4413,8095,8249,11813
北海道,南幌町,355,170,202,112,132,150,37343,63722,96360,70124,44972,52336,3,12,13,8,11,12,3536,5193,8268,5445,3613,4849
北海道,奈井江町,2450,1240,8423,3673,2783,1643,16267,29626,33363,14112,13621,54964,16,11,24,21,19,16,147,1444,1285,831,748,1681
北海道,上砂川町,2565,2552,1182,3257,202,832,1417,1626,37687,2716,2861,1647,27,29,6,12,4,6,22,26,85,36,24,22
北海道,由仁町,2413,2117,3157,4097,6405,1832,7834,27070,95431,127664,107146,123146,7,27,14,13,11,11,414,1180,3444,4920,4239,4945
北海道,長沼町,1305,6290,2740,8470,5850,4620,3265,15020,40698,60372,92612,137486,17,16,9,14,18,19,33,61,2464,3528,5413,6677
北海道,栗山町,1535,1265,355,465,1601,24267,122264,138187,204931,155882,185371,269109,13,6,7,5,155,4391,11900,12066,16134,14837,13146,16874
北海道,月形町,0,0,100,184,110,80,880,1095,73243,54219,42509,293675,0,0,4,5,5,3,11,21,5293,3860,2949,10452
北海道,浦臼町,150,1080,1215,2600,1100,101220,71169,353402,158641,171590,194488,117652,6,7,10,6,4,8,4775,15351,10187,12815,16678,8267
北海道,新十津川町,335,141,640,223,1193,1613,7548,81420,66170,112072,104626,151147,8,6,9,6,7,16,846,6339,3831,4292,4977,5067
北海道,妹背牛町,6350,2228,420,73,805,1028,1718,15224,91489,138555,177650,255367,5,2,2,2,3,6,161,629,4735,6408,10700,14589
北海道,秩父別町,654,1527,507,555,12390,1801,2365,148835,147383,179356,559705,392234,16,11,11,11,18,17,165,9919,8255,9992,29786,16008
北海道,雨竜町,2000,0,1000,0,0,0,1310,3694,32525,117220,170812,197117,2,0,1,0,0,0,32,235,2948,6041,5748,4559
北海道,北竜町,875,691,425,330,305,160,25594,320189,308591,379113,321599,548623,33,19,17,13,9,9,2047,25439,25216,32139,25471,40395
北海道,沼田町,4785,612,528,6510,2255,7085,14878,194285,285149,300418,337080,209451,50,26,25,13,9,41,1101,12344,19680,19702,21830,9257
北海道,鷹栖町,1250,2789,680,2215,2870,22147,35266,67440,108177,124090,86087,113285,6,23,26,49,65,1927,2829,4077,7542,9205,6198,6827
北海道,東神楽町,130,240,1150,90,119,5220,200,38225,116345,123883,140118,221020,3,5,5,3,4,6,5,1759,6289,4803,4410,5136
北海道,当麻町,1530,3670,4330,5805,12,39772,126438,130327,154751,139968,167607,542833,114,220,393,547,879,3796,12129,9880,11563,9641,8795,28187
北海道,比布町,2105,4323,5580,8673,2553,3300,8690,4135,6670,17240,28765,31607,6,27,21,17,16,8,29,25,74,468,1145,1161
北海道,愛別町,490,540,675,730,1515,620,7205,21111,35238,49783,43895,46053,5,13,17,27,44,48,617,1561,2933,3822,2635,1243
北海道,上川町,0,60,45,1295,546,15580,10930,23290,30124,37751,32218,39606,0,2,4,18,23,30,59,563,948,1320,1250,1673
北海道,東川町,10453,8602,5972,9219,11674,21954,18189,92694,161425,230907,400414,500260,414,403,372,456,683,1443,1386,5781,7332,11559,21786,18199
北海道,美瑛町,1825,2044,2535,2150,2165,1456,8824,72368,83493,84756,129552,96441,17,23,30,27,34,38,408,4507,4571,4329,4646,4168
北海道,上富良野町,980,1565,2790,1360,1845,5153,5640,6419,4179,66797,107424,238292,27,30,25,19,20,29,64,64,58,4445,8511,15769
北海道,中富良野町,60,0,75,195,145,185,400,480,123198,112884,128460,87085,2,0,2,4,3,5,6,10,10061,9116,9635,5562
北海道,南富良野町,1074,4552,4762,793,1615,5814,4346,6461,13186,12520,16207,12357,5,11,28,43,77,414,351,461,435,343,828,715
北海道,占冠村,0,0,0,0,0,0,2610,14240,19120,14460,10360,13435,0,0,0,0,0,0,214,641,385,313,206,310
北海道,和寒町,1230,3170,3440,1110,1705,2531,3150,5785,29343,28963,58082,42667,9,9,18,14,11,20,146,433,2369,2476,5209,3677
北海道,剣淵町,910,10800,1135,6200,1845,2500,2930,12007,7593,6552,8810,13002,4,3,5,4,6,2,7,778,403,376,608,663
北海道,下川町,2481,5973,2917,2565,1327,9575,29656,33867,21817,21250,23236,21422,49,66,53,41,42,66,1825,2237,1559,1383,881,792
北海道,美深町,1545,2193,7805,2040,4695,1280,1315,2924,31375,60233,60549,155854,4,31,47,50,60,51,45,58,1570,2981,3246,10675
北海道,音威子府村,2800,3790,1740,3730,4120,937,1610,1586,1336,1269,2389,3500,23,12,11,6,8,5,16,30,42,35,145,137
北海道,中川町,2236,350,480,290,430,240,765,1315,6235,6801,5720,6330,11,6,7,5,8,4,8,11,414,279,271,223
北海道,幌加内町,284,644,4649,739,329,556,859,1179,13644,21494,20609,22591,7,17,23,18,8,10,19,29,1219,1651,1281,1458
北海道,増毛町,695,690,560,3695,585,2455,118712,476529,505750,551173,366420,320416,9,21,24,15,25,62,9660,30805,36533,42153,25108,21009
北海道,小平町,670,1440,830,1430,2510,2073,2435,1885,11616,10050,13925,5022,7,6,3,8,9,10,24,25,716,525,1019,275
北海道,苫前町,0,3034,1000,625,570,585,35605,3550,2685,3287,4350,5230,0,10,2,4,3,5,8,147,78,165,229,278
北海道,羽幌町,300,485,2660,510,497,2987,1880,70683,26622,36855,35964,114297,1,5,5,3,5,12,10,4151,1506,1614,2504,7441
北海道,初山別村,1263,95,13,53,383,275,980,1395,1270,2090,1225,1255,61,7,2,4,9,7,41,30,49,24,23,21
北海道,遠別町,0,2604,440,3590,1150,2155,6594,130263,130620,140498,84891,111254,0,12,6,8,8,10,490,8722,7653,8357,5537,7680
北海道,天塩町,1720,896,7177,7590,640,2460,3527,1962,12863,395048,425242,78715,9,11,20,15,8,13,17,44,964,15570,15797,2813
北海道,猿払村,1200,900,5550,8380,1710,3365,35417,148150,191390,196917,355231,412382,3,2,11,22,92,160,3244,14143,15907,16460,30280,18918
北海道,浜頓別町,210,280,260,440,225,405,145,716,33676,15806,9483,1709,4,6,5,7,9,8,5,15,2608,732,465,85
北海道,中頓別町,3910,1140,910,110,120,1075,935,1128,1215,2067,865,880,6,6,6,3,3,5,4,8,46,48,27,34
北海道,枝幸町,100,0,110,40,0,220,180,260709,385099,303453,347202,364929,1,0,3,1,0,3,6,15303,23351,18459,24767,21175
北海道,豊富町,0,0,175,85,110,2204,26504,184072,268147,301535,291934,403168,0,0,3,2,3,11,2347,16049,20467,21550,20336,30509
北海道,礼文町,360,2010,3110,2455,3408,4291,106446,9901,260137,266874,210236,203878,4,4,6,9,19,18,37,17,8519,7561,9320,8416
北海道,利尻町,2265,3770,8215,1215,4483,5471,3549,2386,92992,123903,146837,138095,22,51,27,15,26,25,48,42,4048,4812,6886,5920
北海道,利尻富士町,220,835,2930,4580,7821,11571,11709,6185,49345,140727,134109,273416,3,22,183,366,604,879,983,479,1666,3429,2886,7694
北海道,幌延町,4705,210,1330,590,728,720,356,686,10145,11287,12115,15335,6,4,6,4,6,4,5,58,938,1086,1076,1520
北海道,美幌町,200,5086,6408,9476,7705,6899,12847,81633,38707,28783,35746,43810,3,26,81,110,144,361,1088,3211,1710,1096,1015,1951
北海道,津別町,880,400,1090,650,670,1300,1070,31205,116951,102965,48320,60028,15,3,11,3,4,7,18,1195,2841,2254,2304,2242
北海道,斜里町,8502,36506,12114,7877,5810,17995,10150,7182,22851,13822,18050,16367,715,514,614,586,454,654,542,544,513,584,806,630
北海道,清里町,480,110,110,100,125,140,1090,1190,7710,8924,7772,11425,6,5,5,4,4,5,7,9,525,707,568,848
北海道,小清水町,1350,700,650,130,150,430,340,230,81902,1002292,289523,41664,4,3,3,2,2,4,6,16,4707,16726,5625,1730
北海道,訓子府町,2382,400,1655,270,760,1520,840,31428,27972,21942,26598,27920,32,27,10,11,15,25,18,1733,1332,1298,2418,2023
北海道,置戸町,7925,10450,3470,6025,3385,10200,5070,6265,7925,4535,1135,3820,29,36,26,26,12,24,20,19,22,23,12,21
北海道,佐呂間町,2130,84,87,382,1992,101392,1332,5030,41477,63342,55204,170303,4,4,5,6,10,10,59,411,4268,6590,4989,14793
北海道,遠軽町,390,2485,675,738,620,27760,14419,28794,34513,15031,21937,23102,4,9,10,12,8,274,1922,2562,3842,1231,1973,1933
北海道,湧別町,920,580,710,2520,2629,4910,2205,7050,4100,14080,20300,60528,41,34,22,26,25,26,41,47,42,600,1032,4387
北海道,滝上町,1975,530,1288,860,1005,6415,1014,1895,3450,5297,5625,6320,99,30,88,83,88,85,62,104,208,361,391,409
北海道,興部町,110,237,785,920,1090,1335,6500,8940,36407,27621,29637,20934,2,9,56,69,100,107,107,327,3093,2231,2163,1306
北海道,西興部村,974,133,80,141,123,437,1400,408,5115,5830,14235,14720,41,14,9,11,10,11,18,21,48,41,62,55
北海道,雄武町,270,140,140,120,1115,275,537,65417,156177,157448,50214,83895,5,2,2,2,4,6,10,6836,16295,15275,3145,6714
北海道,大空町,7723,2603,5196,10840,3845,7125,4985,54643,51522,159489,174045,191128,42,20,30,26,20,21,33,1818,1382,6248,7379,7985
北海道,豊浦町,958,700,190,225,275,70,9496,29422,31046,38590,34981,40915,9,7,5,6,5,5,718,2115,1550,1693,1156,1291
北海道,壮瞥町,570,0,25,130,40,55,714,9843,35588,30244,29835,45694,3,0,1,2,2,3,23,619,2729,2292,2151,3255
北海道,白老町,1084,915,900,1745,720,815,32172,129921,589580,456745,421630,370277,17,8,10,10,8,17,2234,7644,50972,38142,34794,24197
北海道,厚真町,36,92,300,100,960,4450,93077,147343,211800,208034,944087,630767,1,4,1,1,34,303,3171,3711,5137,4786,44566,21165
北海道,洞爺湖町,0,0,1260,1110,1070,28981,56372,66562,32404,46886,79496,72847,0,0,8,8,5,87,2027,2526,2092,2460,3114,2588
北海道,安平町,1100,50,1150,1190,250,510,24416,289582,308458,379350,605426,654454,3,1,3,6,7,8,1788,24854,26923,34991,47818,55243
北海道,むかわ町,700,1025,2895,2180,6190,45008,115817,78225,30600,48670,109470,33750,21,58,153,192,589,3472,7480,5331,1907,3519,3462,1672
北海道,日高町,1260,879,36547,1555,2830,3920,11848,30627,101732,83495,149283,107423,65,80,160,191,295,562,1721,3506,6197,5530,7549,6766
北海道,平取町,1210,1287,4245,1412,870,705,789,66092,18519,81189,139907,167042,3,12,26,65,90,92,89,2102,1366,3475,7326,4791
北海道,新冠町,300,810,630,3910,913,1805,46829,93602,52443,19186,18915,52396,8,8,12,18,14,17,3834,7630,3160,1158,976,2163
北海道,浦河町,1545,2801,1677,1656,2086,2110,2726,366540,460863,390218,508937,465188,72,29,45,53,42,52,79,22882,27203,22453,34900,28627
北海道,様似町,2679,1302,399,416,200,242,240,74540,73371,54094,111325,92713,92,17,16,5,6,7,5,4632,5017,3792,8236,5594
北海道,えりも町,435,270,458,622,48,156,231549,538629,421617,357158,305025,897284,16,4,13,13,9,6,11255,24821,16295,10700,10697,30961
北海道,新ひだか町,256,1330,2055,1000,1190,3855,1510,62650,72110,127956,78879,66975,16,21,41,46,50,66,74,4453,4523,4332,2130,2262
北海道,音更町,6335,3588,1117,1956,2650,13924,189452,391166,307564,279285,399003,462999,19,13,11,9,8,13,15469,33830,24950,24539,35285,34051
北海道,士幌町,9750,9187,11876,5870,5240,16460,7745,94887,81445,108323,100038,183942,36,41,33,37,43,41,36,7680,6744,8500,8511,13383
北海道,上士幌町,50,10524,10896,9841,15959,243503,957169,1536559,2124829,1666930,2085441,1550080,1,26,17,372,969,13278,53783,75141,95107,88116,118522,83275
北海道,鹿追町,13,1078,13,1005,325,1775,118394,207496,101131,65633,75902,119659,1,4,1,2,5,5,8495,16042,7579,4911,5814,8649
北海道,新得町,6993,3120,3920,2735,1641,1424,71705,68339,55843,82730,116772,99750,17,29,32,23,27,22,4882,4232,3953,6015,9145,6622
北海道,清水町,617,1822,1886,2160,3105,2050,2982,54455,84555,60104,60242,83721,11,13,19,16,16,16,29,3430,5738,3928,3735,5475
北海道,芽室町,4287,14727,6715,1444,5604,6317,5885,84670,94970,97750,76223,76545,24,32,40,40,43,50,46,8347,8345,8949,7023,5602
北海道,中札内村,1003,710,724,908,2499,2422,2802,5739,15601,20602,53936,714315,14,4,4,3,6,14,62,269,1210,1604,4401,67542
北海道,更別村,4965,3150,1160,14600,10930,1570,6190,59060,20760,8755,10305,13055,9,11,16,20,15,14,12,21,39,682,588,443
北海道,大樹町,150,1900,20,900,1100,1210,4875,36962,47886,48722,79740,59922,1,2,1,1,2,3,436,2765,3273,3833,2691,2470
北海道,広尾町,0,600,680,0,1315,1732,750,79119,85606,53367,84442,97592,0,2,8,0,52,81,47,5438,5808,3476,4960,6054
北海道,幕別町,1760,3675,2595,3791,5095,1532,1552,83279,276504,428015,261528,197059,15,21,21,26,38,21,17,4517,22968,37284,22223,14342
北海道,池田町,5035,4495,5656,5483,4510,6975,42583,231372,431317,628266,531742,895776,19,16,18,13,12,21,1937,11980,25602,43176,34822,62049
北海道,豊頃町,1850,1643,2316,2910,1420,1670,1280,1590,22274,43365,53206,58672,8,12,15,12,10,8,12,20,2378,5396,6689,7367
北海道,本別町,14626,483,2135,2360,1060,2883,6463,5320,37310,75612,57410,104241,22,24,10,15,13,17,363,387,3240,3247,3538,7055
北海道,足寄町,978,255,1205,10020,1730,3348,51462,168120,100504,73339,57310,52646,16,6,4,7,6,11,3905,12725,7444,4565,2834,1917
北海道,陸別町,3730,770,685,1150,2470,825,4412,1650,1817,3370,5250,4646,15,7,8,11,10,6,21,19,15,223,377,315
北海道,浦幌町,1256,1515,2281,3539,10543,26685,81879,67953,44914,33216,34722,34630,48,116,263,472,1751,4800,15370,12567,7260,4052,3689,4140
北海道,釧路町,0,0,0,0,0,25,100,125,29675,131969,83271,51132,0,0,0,0,0,2,7,3,1624,8906,5922,4074
北海道,厚岸町,300,222,1720,1405,170,1495,925,1573,190858,297224,406150,360060,5,4,7,10,4,14,15,20,12380,19142,26206,19590
北海道,浜中町,500,50,100,505,0,1300,340,18210,104206,100222,98822,375696,1,1,1,2,0,4,13,1706,9255,6060,6196,22599
北海道,標茶町,395,1295,2155,320,30080,418,35,325,380,455,6195,21820,3,4,5,4,5,5,3,10,11,9,74,1075
北海道,弟子屈町,47253,10621,10157,3397,12049,5876,9472,11354,12929,104727,193067,934906,56,61,65,34,47,31,75,72,494,3584,7806,45103
北海道,鶴居村,2320,2300,710,4875,12750,4805,4830,6875,8185,4697,18095,21022,14,10,10,16,14,13,37,29,38,20,1168,1114
北海道,白糠町,1940,1380,2420,12195,4330,3965,2055,159034,817553,1855610,3213510,6733389,11,7,16,11,13,13,15,6953,41683,96061,186036,460533
北海道,別海町,410,815,1640,570,1590,1770,975,2020,1740,32155,51950,55283,7,12,13,9,10,16,20,28,71,1277,2238,2787
北海道,中標津町,505,335,290,970,680,1065,985,1385,36865,38052,60985,90551,14,6,5,8,8,13,15,31,2425,2198,3010,4624
北海道,標津町,0,2754,2160,2454,2461,2094,1967,3745,97013,127821,99951,89022,0,45,41,42,42,41,45,129,7175,8798,6556,7068
北海道,羅臼町,6856,24618,60069,22054,16469,19987,15475,20990,273303,371579,483113,427003,22,40,58,54,34,32,32,1252,18602,26636,33537,27745
青森県,青森県,3397,1997,5591,36442,11786,25019,30748,12432,5531,9241,3212,11809,43,34,68,204,66,67,70,71,56,98,115,710
青森県,青森市,2982,1620,776,511,12175,1855,50453,118820,676860,2118356,143008,211412,20,10,10,13,31,32,1099,9478,12724,8944,11202,18516
青森県,弘前市,1915,2856,2969,2461,2260,3217,39356,18020,72665,238113,288776,333548,25,23,28,34,34,48,1471,822,4425,14206,19031,24555
青森県,八戸市,5474,2128,2160,10383,7651,13289,27855,38406,47882,36918,134667,26404,14,73,65,105,149,275,572,1473,1935,1293,1309,1395
青森県,黒石市,2623,1082,1165,480,860,850,1050,1808,6253,8035,68807,109724,10,16,15,11,17,13,19,35,90,101,2643,6579
青森県,五所川原市,2610,1900,2611,390,6570,3200,28110,75778,144284,113412,221374,460979,4,4,6,5,6,45,911,3211,10711,8157,17946,33026
青森県,十和田市,240,6042,430,11530,2910,759,2907,12797,70412,58888,39717,36438,4,12,5,15,11,11,15,345,5401,3598,2433,2529
青森県,三沢市,3630,2625,1140,1610,1930,826,3105,2020,4685,11110,8580,14530,36,18,16,10,9,12,16,35,39,242,714,1349
青森県,むつ市,1270,695,505,1320,2875,1790,23740,48425,96361,196604,157815,151078,8,8,11,20,98,1006,1337,2125,4305,14534,8881,8883
青森県,つがる市,460,289,330,853,2176,1332,7911,15887,31616,22483,19895,28430,17,11,20,25,36,37,183,834,1533,1289,1029,1845
青森県,平川市,4347,4368,1582,3726,1127,580,1832,160793,281279,171342,437513,243653,26,14,9,6,8,7,82,12452,24209,13034,34611,16516
青森県,平内町,150,2200,1720,1400,1260,1310,1345,2022,2235,2895,7815,8140,2,4,5,5,4,6,8,38,66,118,526,586
青森県,今別町,415,232,156,161,444,185,563,376,5414,9086,11575,8516,15,20,16,16,20,22,28,28,365,700,859,661
青森県,蓬田村,0,0,20,10,10,20,10,40,320,690,661,720,0,0,2,1,1,2,1,2,15,19,14,16
青森県,外ヶ浜町,4140,4280,4290,3590,6325,3782,3199,3435,3805,7165,2225,203970,9,11,9,8,16,10,15,10,15,12,78,142
青森県,鰺ヶ沢町,1060,4764,1050,2915,960,1358,700,89047,123268,151904,318454,314355,18,14,9,8,9,11,10,7242,10477,17104,41582,23963
